	position	artist	title	year
1	1	IVAN	Fotonovela	1985
2	2	MODERN TALKING	You're my heart, you're my soul	1985
3	3	MADONNA	Like a virgin	1985
4	4	JEANNE MAS	Johnny, Johnny	1985
5	5	AL CORLEY	Square rooms	1985
6	6	MURRAY HEAD	One night in Bangkok	1985
7	7	BALTIMORA	Tarzan boy	1985
8	8	KOOL & THE GANG	Cherish	1985
9	9	TALK TALK	Such a shame	1985
10	10	DURAN DURAN	A view to a kill	1985
11	11	CHAKA KHAN	I feel for you	1985
12	12	MOON RAY	Comanchero	1985
13	13	MADONNA	Into the groove	1985
14	14	OPUS	Live is life	1985
15	15	MAGAZINE 60	Don quichotte	1985
16	16	CENTURY	Lover why	1985
17	17	TOPO & ROBY	Under the ice	1985
18	18	WHAM!	Everything she wants	1985
19	19	PHILIP BAILEY & PHIL COLLINS	Easy lover	1985
20	20	TEARS FOR FEARS	Everybody wants to rule the world	1985
21	21	JEAN-JACQUES GOLDMAN & MICHAEL JONES	Je te donne	1985
22	22	A-HA	Take on me	1985
23	23	RITA MITSOUKO	Marcia baïla	1985
24	24	EROS RAMAZZOTTI	Una storia importante	1985
25	25	PAUL HARDCASTLE	19	1985
26	26	GEORGE MICHAEL	Careless whisper	1985
27	27	STEVIE WONDER	Part-time lover	1985
28	28	DURAN DURAN	The wild boys	1985
29	29	KAZINO	Around my dream	1985
30	30	PAUL YOUNG	Every time you go away	1985
31	31	SILVER POZZOLI	Around my dream	1985
32	32	TEARS FOR FEARS	Shout	1985
33	33	LIMAHL	The neverending story	1985
34	34	AL CORLEY	Cold dresses	1985
35	35	USA FOR AFRICA	We are the world	1985
36	36	BRONSKI BEAT	Why	1985
37	37	JIMMY CLIFF	Hot shot	1985
38	38	FOREIGNER	I want to know what love is	1985
39	39	JEAN-PIERRE MADER	Macumba	1985
40	40	SIMPLY RED	Money's too tight (to mention)	1985
41	41	DANIEL LAVOIE	Ils s'aiment	1985
42	42	EURYTHMICS	Sexcrime (nineteen eighty.four)	1985
43	43	FOX THE FOX	Precious little diamond	1985
44	44	STARGO	Live is life	1985
45	45	THE CURE	In between days	1985
46	46	JEAN-JACQUES GOLDMAN	Je marche seul	1985
47	47	ANDREA	I'm a lover	1985
48	48	EURYTHMICS	There must be an angel (playing with my heart)	1985
49	49	CHAZ JANKEL	Number one	1985
50	50	GOLD	Plus près des étoiles	1985
1	1	NU SHOOZ	I can't wait	1986
2	2	BERLIN	Take my breath away	1986
3	3	PROPAGANDA	P: machinery	1986
4	4	BANANARAMA	Venus	1986
5	5	IMAGES	Les démons de minuit	1986
6	6	EUROPE	The final countdown	1986
7	7	PARTENAIRE PARTICULIER	Partenaire particulier	1986
8	8	MADONNA	Live to tell	1986
9	9	MADONNA	Papa don't preach	1986
