	artist	title	year
0	N'DOUR, YOUSSOU & CHERRY, NENEH	7 SECONDS	1994
1	I AM	JE DANSE LE MIA	1994
2	REEL 2 REAL & STUNTMAN, MAD	I LIKE TO MOVE	1994
3	RED, AXELLE	SENSUALITE	1994
4	SPRINGSTEEN, BRUCE	STREETS OF PHILADELPHIA (B.O.F.)	1994
5	ZE KICK, BILLY & GAMINS EN FOLIE, LES	MANGEZ-MOI !	1994
6	RAM JAM	BLACK BETTY (MUSIQUE DU SPOT TV DU PARFUM 'REBEL' DE GEMEY)	1994
7	CAREY, MARIAH	WITHOUT YOU	1994
8	CORONA	THE RHYTHM OF THE NIGHT	1994
9	EAST 17	IT'S ALRIGHT	1994
10	CLIFF, JIMMY	I CAN SEE CLEARLY NOW (B.O.F. 'RASTA ROCKETT')	1994
11	DION, CELINE	THE POWER OF LOVE	1994
12	PAUSINI, LAURA	LA SOLITUDINE	1994
13	WET WET WET	LOVE IS ALL AROUND (B.O.F. '4 MARIAGES ET UN ENTERREMENT')	1994
14	ALL FOR ONE	I SWEAR	1994
15	ACE OF BASE	HAPPY NATION	1994
16	ACE OF BASE	THE SIGN	1994
17	JOHN, ELTON	CAN YOU FEEL THE LOVE TONIGHT	1994
18	CAREY, MARIAH	HERO	1994
19	BREEDERS, THE	CANNONBALL	1994
20	COSTA, KARINE & LEVI, DANIEL	ALADDIN (CE REVE BLEU) (B.O.F.)	1994
21	TONTON DAVID	SUR ET CERTAIN	1994
22	MO-DO	EINS, ZWEI, POLIZEI	1994
23	BIG MOUNTAIN	BABY, I LOVE YOUR WAY	1994
24	M.PEOPLE	MOVING ON UP	1994
25	MADONNA	SECRET	1994
26	MASTERBOY	FEEL THE HEAT OF THE NIGHT	1994
27	PRINCE	THE MOST BEAUTIFUL GIRL IN THE WORLD	1994
28	SNOOP DOGGY DOGG	WHAT'S MY NAME	1994
29	WHIGFIELD	SATURDAY NIGHT	1994
30	STILSTSKIN	INSIDE	1994
31	CRASH TEST DUMMIES	MMM MMM MMM MMM	1994
32	BRUEL, PATRICK	COMBIEN DE MURS...	1994
33	ICE MC	THINK ABOUT THE WAY	1994
34	BOYZ II MEN	I'LL MAKE LOVE TO YOU	1994
35	PINK FLOYD	HIGH HOPES	1994
36	CULTURE BEAT	ANYTHING	1994
37	ICE MC	IT'S A RAINY DAY	1994
38	COUNTING CROWS	MR. JONES	1994
39	ADAMS, BRYAN	PLEASE FORGIVE ME	1994
40	QUENCH	DREAMS	1994
41	PAGNY, FLORENT	SI TU VEUX M'ESSAYER	1994
42	MEAT LOAF	I'D DO ANYTHING FOR LOVE	1994
43	2 UNLIMITED	THE REAL THING	1994
44	CHARLES & EDDIE	SHINE (SPOT TV 'NOUVELLE FIESTA NEWPORT')	1994
45	ENIGMA	THE RETURN TO INNOCENT	1994
46	OLDLAND, MISTY	A FAIR AFFAIR	1994
